operation,property_type,lat,lon,price
rent,apartment,-23.624269,-46.729195000000004,2300.0
rent,apartment,-23.616831,-46.732323,11500.0
rent,apartment,-23.627695000000003,-46.733921,5000.0
rent,apartment,-23.627405,-46.73085,2200.0
rent,apartment,-23.627405,-46.73085,2200.0
rent,apartment,-23.627405,-46.73085,2200.0
rent,apartment,-23.625345000000003,-46.719868,5000.0
rent,apartment,-23.624269,-46.729195000000004,1900.0
rent,apartment,-23.624269,-46.729195000000004,1800.0
rent,house,-23.625381,-46.722266999999995,8000.0
rent,apartment,-23.613004999999998,-46.739025,2500.0
rent,apartment,-23.631193,-46.733112,6000.0
rent,apartment,-23.628317000000003,-46.737144,1800.0
rent,apartment,-23.628878,-46.733166,2000.0
rent,apartment,-23.618076000000002,-46.741676,2000.0
rent,apartment,-23.628065,-46.724388,4000.0
rent,apartment,-23.624739,-46.7411,2600.0
rent,apartment,-23.618374,-46.735352,7500.0
rent,house,-23.585855,-46.734066,6200.0
rent,apartment,-23.615574,-46.737541,4500.0
rent,apartment,-23.615574,-46.737541,3500.0
rent,apartment,-23.635828,-46.739815,2000.0
rent,apartment,-23.620356,-46.737572,6700.0
rent,apartment,-23.608557,-46.706692,3500.0
rent,house,-23.624359,-46.7267,12000.0
rent,apartment,-23.613129,-46.737770000000005,3200.0
rent,apartment,-23.620356,-46.737572,11000.0
rent,apartment,-23.625534,-46.722031,2200.0
rent,apartment,-23.625534,-46.722031,2700.0
rent,apartment,-23.60833,-46.72562,1800.0
rent,apartment,-23.624451,-46.731091,6000.0
rent,apartment,-23.624546,-46.731777,7000.0
rent,apartment,-23.625534,-46.722031,2150.0
rent,apartment,-23.634438,-46.731491,2000.0
rent,apartment,-23.61042,-46.734997,2000.0
rent,apartment,-23.624354999999998,-46.738796,2000.0
rent,apartment,-23.624354999999998,-46.738796,2000.0
rent,apartment,-23.636742,-46.727573,12000.0
rent,apartment,-23.636742,-46.727573,7500.0
rent,house,-23.603434,-46.727009,3700.0
rent,apartment,-23.587469,-46.739956,2000.0
rent,apartment,-23.612181,-46.736121999999995,2000.0
rent,apartment,-23.612181,-46.736121999999995,1900.0
rent,apartment,-23.613004999999998,-46.739025,2210.0
rent,apartment,-23.618076000000002,-46.741676,7500.0
rent,apartment,-23.611597,-46.707516,8000.0
rent,apartment,-23.610367,-46.736019,1900.0
rent,apartment,-23.618565,-46.733672999999996,2700.0
rent,apartment,-23.624269,-46.729195000000004,2500.0
rent,apartment,-23.606218,-46.706699,10000.0
rent,apartment,-23.624546,-46.731777,2260.0
rent,apartment,-23.624269,-46.729195000000004,2500.0
rent,apartment,-23.634438,-46.731491,2200.0
rent,apartment,-23.634155,-46.737827,4993.0
rent,apartment,-23.610689,-46.731407,5000.0
rent,apartment,-23.628065,-46.724388,7000.0
rent,apartment,-23.604958,-46.704762,20000.0
rent,apartment,-23.617237,-46.737784999999995,2200.0
rent,apartment,-23.613129,-46.737770000000005,2940.0
rent,apartment,-23.595692,-46.718212,3000.0
rent,apartment,-23.641245,-46.736366,2700.0
rent,house,-23.625277,-46.741013,7000.0
rent,apartment,-23.611654,-46.706394,4500.0
rent,apartment,-23.617741,-46.731068,1900.0
rent,apartment,-23.610775,-46.732616,3200.0
rent,apartment,-23.618076000000002,-46.741676,2900.0
rent,house,-23.604927,-46.716194,9000.0
rent,apartment,-23.617764,-46.737465,5000.0
rent,house,-23.568783,-46.710735,8000.0
rent,apartment,-23.628538,-46.73114,2200.0
rent,apartment,-23.634621,-46.732116999999995,2200.0
rent,apartment,-23.627695000000003,-46.733921,3300.0
rent,apartment,-23.621897,-46.735394,2400.0
rent,apartment,-23.609409,-46.750071999999996,1800.0
rent,house,-23.606668,-46.715584,10000.0
rent,apartment,-23.624269,-46.729195000000004,1700.0
rent,apartment,-23.610367,-46.736019,2300.0
rent,apartment,-23.609316,-46.745358,1700.0
rent,apartment,-23.624269,-46.729195000000004,2000.0
rent,apartment,-23.612555,-46.708572,4000.0
rent,apartment,-23.618076000000002,-46.741676,1700.0
rent,apartment,-23.61338,-46.725891,4000.0
rent,apartment,-23.636742,-46.727573,15000.0
rent,apartment,-23.627405,-46.73085,1650.0
rent,apartment,-23.635597,-46.734001,3200.0
rent,apartment,-23.612181,-46.736121999999995,1800.0
rent,apartment,-23.633694000000002,-46.730255,2400.0
rent,apartment,-23.60734,-46.725262,2900.0
rent,apartment,-23.62405,-46.730453000000004,2010.0
rent,apartment,-23.62405,-46.730453000000004,2010.0
rent,apartment,-23.624269,-46.729195000000004,2050.0
rent,apartment,-23.619127,-46.740189,2200.0
rent,house,-23.597706,-46.709152,25000.0
rent,apartment,-23.624269,-46.729195000000004,1600.0
rent,house,-23.603638,-46.723358000000005,6500.0
rent,apartment,-23.624269,-46.729195000000004,1800.0
rent,apartment,-23.620356,-46.737572,1500.0
rent,apartment,-23.620356,-46.737572,1550.0
rent,apartment,-23.629629,-46.732018,1400.0
rent,house,-23.608010999999998,-46.716728,14000.0
rent,apartment,-23.612181,-46.736121999999995,1700.0
rent,apartment,-23.624269,-46.729195000000004,2600.0
rent,apartment,-23.624269,-46.729195000000004,2150.0
rent,apartment,-23.625431,-46.735344,2800.0
rent,apartment,-23.620356,-46.737572,1300.0
rent,apartment,-23.627209,-46.729008,1600.0
rent,apartment,-23.620356,-46.737572,1400.0
rent,apartment,-23.627209,-46.729008,2500.0
rent,apartment,-23.628878,-46.733166,1600.0
rent,apartment,-23.620356,-46.737572,1900.0
rent,apartment,-23.628538,-46.73114,2600.0
rent,apartment,-23.618374,-46.735352,5000.0
