operation,property_type,lat,lon,price
rent,apartment,-23.543138,-46.479486,930
rent,apartment,-23.550239,-46.480717999999996,1000
rent,apartment,-23.542818,-46.485665000000004,1000
rent,apartment,-23.547171,-46.483014000000004,1000
rent,apartment,-23.525025,-46.482436,1300
rent,apartment,-23.548751,-46.477195,1170
rent,apartment,-23.54984,-46.484137,1000
rent,apartment,-23.53974,-46.492670000000004,900
rent,apartment,-23.548751,-46.477195,1000
rent,apartment,-23.548751,-46.477195,1000
rent,apartment,-23.55185,-46.491169,760
rent,apartment,-23.545761,-46.479509,800
rent,apartment,-23.552073,-46.483411,900
rent,apartment,-23.541366,-46.483726000000004,1000
rent,apartment,-23.543955,-46.586619,1800
rent,apartment,-23.544698,-46.602114,1600
rent,apartment,-23.546104,-46.594578999999996,1500
rent,apartment,-23.534606,-46.595084,1600
rent,apartment,-23.539620000000003,-46.596337,1600
rent,apartment,-23.544698,-46.602114,1600
rent,apartment,-23.53838,-46.589441,1900
rent,apartment,-23.538163,-46.591505,2500
rent,apartment,-23.540023,-46.586898,1400
rent,apartment,-23.544698,-46.602114,1800
rent,apartment,-23.540212,-46.585702000000005,1500
rent,apartment,-23.538134,-46.594059,2300
rent,apartment,-23.538163,-46.591505,2250
rent,apartment,-23.532871,-46.601244,1700
rent,apartment,-23.534606,-46.595084,1726
rent,apartment,-23.546089000000002,-46.590325,1700
rent,apartment,-23.546104,-46.594578999999996,1600
rent,apartment,-23.538794,-46.605664000000004,810
rent,apartment,-23.538767,-46.594706,3000
rent,apartment,-23.550987,-46.590908,6000
rent,apartment,-23.53838,-46.589441,1750
rent,apartment,-23.538134,-46.594059,2500
rent,apartment,-23.540085,-46.593312,3800
rent,apartment,-23.537298999999997,-46.583385,1600
rent,apartment,-23.530025,-46.600427,990
rent,apartment,-23.543955,-46.586619,1850
rent,apartment,-23.535523,-46.593554,1950
rent,apartment,-23.536996,-46.591994,1099
rent,apartment,-23.538904000000002,-46.589456,2300
rent,apartment,-23.53718,-46.593103,1500
rent,apartment,-23.559264000000002,-46.575407,1300
rent,apartment,-23.536768,-46.593884,1900
rent,apartment,-23.538535,-46.595799,1350
rent,apartment,-23.538282000000002,-46.593159,2500
rent,apartment,-23.537348,-46.588941,2500
rent,apartment,-23.502336,-46.523243,1200
rent,apartment,-23.506197,-46.522358000000004,1450
rent,apartment,-23.509447,-46.530638,1100
rent,apartment,-23.510982000000002,-46.542666,870
rent,apartment,-23.497770000000003,-46.511826,1300
rent,apartment,-23.510943,-46.52949,1000
rent,apartment,-23.508423,-46.530246000000005,1100
rent,apartment,-23.503393,-46.523542,1100
rent,apartment,-23.509073,-46.53732,800
rent,apartment,-23.508439000000003,-46.530778000000005,1200
rent,apartment,-23.505049,-46.527093,900
rent,apartment,-23.504686,-46.513013,1150
rent,apartment,-23.508439000000003,-46.530778000000005,1250
rent,apartment,-23.515341,-46.532945,1100
rent,apartment,-23.510982000000002,-46.542666,1200
rent,apartment,-23.505049,-46.527093,1200
rent,apartment,-23.509447,-46.530638,1200
rent,apartment,-23.499806,-46.522778,1400
