cd_geocodi,favela_present,predicted_favela_present
350570810000023,0.0,0.0
350570810000025,0.0,0.0
350570805000043,0.0,0.0
350570805000056,0.0,0.0
350570805000057,0.0,0.0
350570805000058,0.0,0.0
350570805000059,0.0,0.0
350570805000060,0.0,0.0
350570805000061,0.0,0.0
350570805000062,0.0,0.0
350570805000063,0.0,0.0
350570805000064,0.0,0.0
350570805000065,0.0,0.0
350570805000066,0.0,0.0
350570805000067,0.0,0.0
350570805000068,0.0,0.0
350570805000069,0.0,0.0
350570805000070,0.0,0.0
350570805000071,0.0,0.0
350570805000072,0.0,0.0
350570805000073,0.0,0.0
350570805000074,0.0,0.0
350570805000075,0.0,0.0
350570805000076,0.0,0.0
350570805000077,0.0,0.0
350570805000078,0.0,0.0
350570805000079,0.0,0.0
350570805000080,0.0,0.0
350570805000081,0.0,0.0
350570805000082,0.0,0.0
350570805000083,0.0,0.0
350570805000084,0.0,0.0
350570805000085,0.0,0.0
350570805000088,0.0,0.0
350570805000089,0.0,0.0
350570805000090,0.0,0.0
350570805000091,0.0,0.0
350570805000097,0.0,0.0
350570805000103,0.0,0.0
350570805000105,0.0,0.0
350570805000113,0.0,0.0
350570805000116,0.0,0.0
350570805000117,0.0,0.0
350570805000123,0.0,0.0
350570805000124,0.0,0.0
350570805000125,0.0,0.0
350570805000128,0.0,0.0
350570805000129,0.0,0.0
350570805000132,0.0,0.0
350570805000133,0.0,0.0
350570805000134,0.0,0.0
350570805000144,0.0,0.0
350570805000145,0.0,0.0
350570805000146,0.0,0.0
350570805000147,0.0,0.0
350570805000148,0.0,0.0
350570810000001,0.0,0.0
350570810000002,0.0,0.0
350570810000003,0.0,0.0
350570810000004,0.0,0.0
350570810000005,0.0,0.0
350570810000006,0.0,0.0
350570810000007,0.0,0.0
350570810000008,0.0,0.0
350570810000009,0.0,0.0
350570810000010,0.0,0.0
350570810000011,0.0,0.0
350570810000012,0.0,0.0
350570810000028,0.0,0.0
350570810000029,0.0,0.0
350570810000031,0.0,0.0
350570810000032,0.0,0.0
350570810000034,0.0,0.0
350570810000035,0.0,0.0
350570810000036,0.0,0.0
350570810000037,0.0,0.0
350570810000038,0.0,0.0
350570810000041,0.0,0.0
350570810000043,0.0,0.0
350900705000016,0.0,0.0
350900705000043,0.0,0.0
350900705000044,0.0,0.0
350900705000045,0.0,0.0
350900705000046,0.0,0.0
350900705000047,0.0,0.0
350900705000048,0.0,0.0
350900705000049,0.0,0.0
350900705000050,0.0,0.0
350900705000051,0.0,0.0
350900705000063,0.0,0.0
350900705000064,0.0,0.0
350900705000065,0.0,0.0
350900705000066,0.0,0.0
350900705000067,0.0,0.0
350900705000069,0.0,0.0
350900705000075,0.0,0.0
350900705000076,0.0,0.0
350900705000078,0.0,0.0
350900705000079,0.0,0.0
350900705000091,0.0,0.0
350900705000112,0.0,0.0
350900705000113,0.0,0.0
350900705000116,0.0,0.0
350900705000117,0.0,0.0
350900705000118,0.0,0.0
350900705000126,0.0,0.0
350900705000127,0.0,0.0
